BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Site EUI (Energy Use Intensity kBtu/ft²),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft²),Compliance Status,Estimated Total GHG Emissions (kgCO2e),First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (PPA),Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes
105812,2102144000.0,sixty 5 strathmore rd,65 strathmore rd,boston,2135.0,65 strathmore rd,boston,2135.0,22559.0,,Multifamily Housing,Multifamily Housing (22559.0),107.7,24.0,2429513.9,2125600.2,112890.627,89072.0,18272.23,,,,,,,,,,,,,,,,,,,,,,,pending revisions,131162.857,2030.0,No,No,No,No,No,No,,
105813,202150000.0,sixty 6 r cambridge st llc,66r cambridge st,boston,2129.0,60  66 cambridge st,boston,2129.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,not submitted,,2030.0,,,,,,,,
105814,105412001.0,sixty border street llc,60-84 border st,boston,2128.0,60 border st,boston,2128.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,not submitted,,2030.0,,,,,,,,
105815,503707000.0,sixty charlesgate west condo tr,7 bay state rd,boston,2215.0,60 charlesgate west,boston,2215.0,14795.0,,Multifamily Housing,Multifamily Housing (14795.0),Not Available,,Not Available,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,pending revisions,,2030.0,No,No,No,No,No,No,,
105816,502280000.0,,67-69 beacon st,boston,2108.0,10 charles st,boston,2108.0,55000.0,,Multifamily Housing,"Multifamily Housing (48310.0),Office (2429.0),Bank Branch (4261.0)",58.3,,3206874.2,2707896.5,143816.383,146242.0,30000.084,,,,,,,,,,,,,,,,,,,,,,9.7,in compliance,173816.467,2030.0,No,No,No,No,No,No,,
105817,502892000.0,,65 commonwealth ave,boston,2116.0,65 commonwealth av,boston,2116.0,45460.0,,Multifamily Housing,Multifamily Housing (45460.0),54.1,,2461145.4,1873500.0,99501.585,172229.0,35331.057,,,,,,,,,,,,,,,,,,,,,,12.48,in compliance,134832.642,2030.0,Yes,No,No,No,Yes,Yes,,
105818,504284000.0,sixty queensberry street,60 queensberry st,boston,2215.0,60 queensberry st,boston,2215.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,not submitted,,2030.0,,,,,,,,
105819,304300010.0,,60 south st,boston,2111.0,60 south st,boston,2111.0,252392.0,60431.0,Office,"Office (252392.0),Parking (60431.0)",58,57.0,14640233.1,,,4290807.0,880216.148,,,,,,,,,,,,,,,,,,,,,,10.43,in compliance,880216.148,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,
105820,301609000.0,,110-118 canal st,boston,2114.0,118  112 canal st,boston,2114.0,56840.0,0.0,Office,"Office (56840.0),Parking (4096.0)",Not Available,,Not Available,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,in compliance,,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,
105821,105400040.0,,65 lewis st,boston,2128.0,65 lewis st,boston,2128.0,101703.0,,Multifamily Housing,Multifamily Housing (101703.0),141.9,14.0,14427077.3,9985100.1,530308.666,1301869.0,267065.407,,,,,,,,,,,,,,,,,,,,,,132.03,in compliance,797374.073,2030.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,
105822,501237000.0,sloane enterprises llc,431-439 boylston st,boston,2116.0,431  439 boylston st,boston,2116.0,30210.0,,Office,"Restaurant (1800.0),Office (26610.0),Bank Branch (1800.0)",21.4,100.0,647400,647400.0,34383.414,,0.0,,,,,,,,,,,,,,,,,,,,,,52.49,in compliance,34383.414,2030.0,No,No,No,No,No,No,,
105823,100549001.0,,225 william f mcclellan hwy,boston,2128.0,225 wm f mcclellan hw,boston,2128.0,148988.0,,Hotel,"Hotel (148988.0),Swimming Pool (0.0)",111.7,46.0,16640647.9,7577556.9,402444.047,2656240.0,544901.074,,,,,,,,,,,,,,,,,,,,,,58.03,in compliance,947345.121,2025.0,No,No,No,No,No,No,,
105824,700027000.0,smiley 4 alger llc,4 alger st,boston,2127.0,4 alger st,boston,2127.0,95600.0,,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse (95600.0),16.9,,1613584.1,729900.0,38764.989,258993.0,53129.824,,,,,,,,,,,,,,,,,,,,,,0.27,in compliance,91894.813,2025.0,No,No,No,No,No,No,,
105825,700027001.0,smiley alger llc,2 alger st,boston,2127.0,2 alger st,boston,2127.0,42800.0,,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse (42800.0),7.5,,319485.5,147657.1,7842.069,50360.0,10330.85,,,,,,,,,,,,,,,,,,,,,,0.35,in compliance,18172.919,2025.0,No,No,No,No,No,No,,
105826,601881000.0,smiley west broadway llc,416-418 w broadway,boston,2127.0,416  418 w broadway,boston,2127.0,20902.0,,Food Sales,"Personal Services (Health/Beauty, Dry Cleaning, etc) (4612.0),Food Sales (9760.0),Pre-school/Daycare (6530.0)",130.1,,2719289.2,1193900.0,63408.029,447066.0,91711.119,,,,,,,,,,,,,,,,,,,,,,37.1,in compliance,155119.148,2030.0,No,No,No,No,No,No,,
